!CSV A.01.01
!Keysight Technologies,N5242B,MY58422168,A.13.50.09
!Date: Friday, July 09, 2021 19:34:06
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Sdd11(DB),Sdd11(DEG),Sdd12(DB),Sdd12(DEG),Sdc11(DB),Sdc11(DEG),Sdc12(DB),Sdc12(DEG),Sdd21(DB),Sdd21(DEG),Sdd22(DB),Sdd22(DEG),Sdc21(DB),Sdc21(DEG),Sdc22(DB),Sdc22(DEG),Scd11(DB),Scd11(DEG),Scd12(DB),Scd12(DEG),Scc11(DB),Scc11(DEG),Scc12(DB),Scc12(DEG),Scd21(DB),Scd21(DEG),Scd22(DB),Scd22(DEG),Scc21(DB),Scc21(DEG),Scc22(DB),Scc22(DEG)
100000000,-12.083048,-55.496246,-42.20615,-78.922745,-55.357819,12.456906,-69.422882,-15.012422,23.769365,164.67305,-3.3719046,-164.91417,-27.01293,-117.66546,-37.69286,165.46776,-22.805395,16.960478,-38.934948,-117.25577,-1.2416118,-3.6962509,-38.827953,-7.6963573,-0.69917119,-10.585465,-14.334773,-146.41234,-15.784756,178.69263,-7.2314534,-168.23764
105000000,-12.269727,-56.876877,-43.648193,-77.838455,-56.226101,2.0212739,-71.037354,-104.34315,23.733624,165.18124,-3.513562,-166.43779,-28.723162,-113.29745,-37.408051,173.87967,-22.768141,15.576414,-38.850105,-121.9437,-1.2537223,-3.727402,-38.60236,2.1194909,-0.63316804,-12.835825,-14.232501,-147.25832,-16.271561,177.02953,-7.4000998,-170.5107
110000000,-12.429446,-57.169342,-43.380669,-71.134819,-59.750301,15.590322,-68.600174,108.12831,23.657433,165.57933,-3.5756767,-166.13092,-30.202364,-114.14606,-34.963085,154.74597,-22.541706,10.218212,-37.458767,-126.47016,-1.2699791,-3.6287839,-38.253246,5.8395982,-0.31372303,-17.732895,-13.567372,-151.04938,-16.664198,176.44408,-7.5999069,-172.20219
115000000,-12.572902,-58.129078,-44.797836,-74.701759,-53.803524,18.098145,-67.345634,172.61534,23.620155,166.12808,-3.5960832,-167.73973,-31.004927,-113.02648,-37.409966,145.44978,-22.416924,7.1596026,-37.302162,-125.15494,-1.2881392,-3.5917699,-37.667366,9.7459583,-0.22872451,-19.606264,-13.5678,-150.96942,-17.206936,175.64278,-7.809916,-174.38219
120000000,-12.737557,-59.142902,-45.31176,-75.070969,-58.002125,23.842854,-65.04142,171.15782,23.587942,166.58348,-3.6529925,-168.77095,-28.520185,-110.58414,-37.969246,154.00139,-22.342144,4.3994942,-36.869106,-129.19896,-1.2798014,-3.4750128,-37.696373,9.5461979,-0.10093065,-23.023939,-13.121016,-153.2563,-17.938868,173.94255,-7.9942241,-175.13419
125000000,-12.859426,-60.291336,-45.158051,-79.12455,-53.433674,-0.83167779,-61.287914,57.564903,23.562824,166.95192,-3.7495718,-169.1501,-27.829782,-103.29325,-36.908558,146.1595,-22.095121,3.0709162,-37.800255,-131.4294,-1.276173,-3.4799283,-37.391884,8.0898008,-0.14284106,-24.634535,-13.081899,-155.20412,-18.871254,173.31213,-8.1858778,-174.77341
130000000,-12.975348,-60.918526,-46.853756,-74.963005,-60.519524,-39.203247,-64.110809,79.462631,23.515884,167.39182,-3.7063987,-170.18861,-28.656092,-109.12657,-37.697147,162.79498,-21.305447,0.82987577,-36.607208,-135.35455,-1.2974067,-3.406698,-38.042175,10.137956,0.96044439,-26.612635,-12.198226,-156.15491,-19.33519,174.36674,-7.7569957,-176.31398
135000000,-13.112784,-61.988319,-48.446892,-76.575661,-58.0798,11.954144,-89.969841,165.95573,23.49374,167.74445,-3.791292,-171.5629,-28.745651,-118.63082,-35.72805,165.0883,-21.024481,-5.8070846,-36.02438,-137.99786,-1.2902027,-3.4089563,-38.201099,16.349506,1.2115761,-32.884518,-11.730894,-160.99547,-20.641653,171.85196,-7.8398981,179.89453
140000000,-13.326144,-62.224552,-47.547184,-59.422249,-61.275867,13.839579,-55.092381,168.18452,23.461334,167.75311,-4.2502723,-171.12775,-28.294424,-135.75026,-26.788221,167.84396,-21.03141,-14.362616,-34.822315,-151.4568,-1.2981514,-3.2834361,-35.903839,18.964468,1.6918952,-43.161575,-10.647029,-169.95667,-23.178646,176.59282,-9.0431662,179.0912
145000000,-13.327257,-62.991127,-46.848724,-65.677887,-60.763241,16.599823,-58.692589,150.75584,23.436939,168.30353,-3.869678,-171.42082,-28.176958,-173.7746,-31.085127,121.33674,-21.089956,-23.766987,-36.179031,-154.53818,-1.2886918,-3.4067166,-35.98938,17.538286,1.5225025,-52.898903,-12.248455,-177.42302,-24.107983,-155.69243,-8.5463905,-179.65588
150000000,-13.392163,-63.047565,-49.323204,-73.66861,-61.996601,34.079391,-66.992149,68.718468,23.368956,168.67915,-3.8651428,-171.04771,-29.818756,-106.40832,-37.650261,121.56084,-23.400362,-23.921257,-37.970207,-162.92566,-1.3072156,-3.5091341,-36.634262,20.156073,-0.83150715,-55.971001,-13.357516,-179.81589,-22.755602,-160.24707,-8.515233,178.27534
155000000,-13.356722,-64.512566,-47.691719,-63.946362,-61.831024,11.7587,-70.366539,116.88034,23.368631,169.14183,-3.8150327,-172.77789,-28.273338,-158.12286,-34.538837,126.85542,-23.265493,-23.058683,-37.151733,-161.36722,-1.313262,-3.4796159,-36.273376,15.519915,-0.90380716,-53.448391,-13.266292,-177.60802,-23.232416,-152.87469,-8.5962515,-179.7446
160000000,-13.429826,-66.112915,-48.832989,-90.336121,-54.685902,4.1010075,-60.751671,84.272949,23.356907,169.53574,-3.7868686,-173.54173,-28.014658,-139.32875,-33.758846,121.03994,-23.062998,-14.31916,-38.281593,-155.94948,-1.3275601,-3.3847888,-37.739773,13.874506,-0.92657721,-44.641968,-14.560035,-173.92836,-22.611488,-157.44637,-7.8524466,-178.8893
165000000,-13.603266,-67.000526,-53.484875,-83.712875,-60.54427,7.5106091,-63.161907,106.14821,23.347517,169.74738,-3.8067958,-174.64854,-28.956741,-107.06817,-34.541924,123.19643,-22.702177,-24.700865,-37.521038,-147.79028,-1.3111391,-3.3425186,-37.19545,24.729815,-0.21415216,-54.33131,-13.532344,-167.66187,-23.273432,-154.08742,-8.1854582,175.38138
